scan_id,scan_type,angle_deg,pattern_id,label,capture_id,attempt,bracket_name,exposure_us,gain_db,pattern_filename,pattern_display_timestamp_pc_ms,capture_command_timestamp_pc_ms,camera_timestamp_ms,camera_frame_index,received_image_filename,final_filename,saturated_mask_filename,dark_mask_filename,size_bytes,status,error
hdr_16bit_save_all,object,0,0,White,0,1,short,2500,0.0,00_White.bmp,1783323076624,1783323076924,1783323076937,0,exposures/pattern_000/short.png,pattern_000.png,hdr_masks/pattern_000_saturated.png,hdr_masks/pattern_000_dark.png,2779,ok,
hdr_16bit_save_all,object,0,0,White,1,1,mid,10000,0.0,00_White.bmp,1783323076624,1783323076943,1783323076952,1,exposures/pattern_000/mid.png,pattern_000.png,hdr_masks/pattern_000_saturated.png,hdr_masks/pattern_000_dark.png,2779,ok,
hdr_16bit_save_all,object,0,0,White,2,1,long,40000,0.0,00_White.bmp,1783323076624,1783323076958,1783323076967,2,exposures/pattern_000/long.png,pattern_000.png,hdr_masks/pattern_000_saturated.png,hdr_masks/pattern_000_dark.png,2778,ok,
hdr_16bit_save_all,object,0,1,Black,3,1,short,2500,0.0,01_Black.bmp,1783323077050,1783323077351,1783323077358,3,exposures/pattern_001/short.png,pattern_001.png,hdr_masks/pattern_001_saturated.png,hdr_masks/pattern_001_dark.png,2377,ok,
hdr_16bit_save_all,object,0,1,Black,4,1,mid,10000,0.0,01_Black.bmp,1783323077050,1783323077363,1783323077370,4,exposures/pattern_001/mid.png,pattern_001.png,hdr_masks/pattern_001_saturated.png,hdr_masks/pattern_001_dark.png,2377,ok,
hdr_16bit_save_all,object,0,1,Black,5,1,long,40000,0.0,01_Black.bmp,1783323077050,1783323077374,1783323077381,5,exposures/pattern_001/long.png,pattern_001.png,hdr_masks/pattern_001_saturated.png,hdr_masks/pattern_001_dark.png,2377,ok,
hdr_16bit_save_all,object,0,2,Gray0,6,1,short,2500,0.0,02_Gray0.bmp,1783323077453,1783323077755,1783323077762,6,exposures/pattern_002/short.png,pattern_002.png,hdr_masks/pattern_002_saturated.png,hdr_masks/pattern_002_dark.png,3781,ok,
hdr_16bit_save_all,object,0,2,Gray0,7,1,mid,10000,0.0,02_Gray0.bmp,1783323077453,1783323077768,1783323077776,7,exposures/pattern_002/mid.png,pattern_002.png,hdr_masks/pattern_002_saturated.png,hdr_masks/pattern_002_dark.png,3781,ok,
hdr_16bit_save_all,object,0,2,Gray0,8,1,long,40000,0.0,02_Gray0.bmp,1783323077453,1783323077780,1783323077787,8,exposures/pattern_002/long.png,pattern_002.png,hdr_masks/pattern_002_saturated.png,hdr_masks/pattern_002_dark.png,3780,ok,
hdr_16bit_save_all,object,0,14,Gray0_inv,9,1,short,2500,0.0,02_Gray0.bmp,1783323077861,1783323078163,1783323078170,9,exposures/pattern_014/short.png,pattern_014.png,hdr_masks/pattern_014_saturated.png,hdr_masks/pattern_014_dark.png,4282,ok,
